,theta,x_guess2,y_guess2
0,-0.631328217109,1032.01223542,211.937155452
1,-0.722092660425,780.573763632,210.370986789
2,-0.618445201583,782.435388973,208.578639049
3,-0.720939264498,782.705953585,210.056269155
4,-0.967046815457,783.183307963,214.348748999
5,-1.85657427625,786.791752411,225.231476179
6,-1.47321773733,785.354756404,220.767736577
7,-0.630236090877,780.644243491,209.437361608
8,-0.728008954576,781.254301737,209.903243345
9,-0.971468144013,781.002953669,213.8764185
10,-1.88305453096,785.190004527,226.396377578
11,-1.499524102,783.079277671,220.821057961
12,-0.624036739761,778.134059052,209.273655698
13,-0.69207943038,778.307676522,209.714734368
14,-0.959965294668,779.144246007,213.134003344
15,-1.86293507145,782.879990525,225.215431625
16,-1.50410768476,780.004607604,220.672447528
17,-0.614466545403,777.568743189,209.30355963
18,-0.737327783045,778.262732345,210.531160519
19,-0.969204359785,778.476203749,213.494680882
20,-1.89362382138,781.634785902,225.515732287
21,-1.51307971856,777.52236784,221.345379084
22,-0.638799930184,774.141584222,209.346690231
23,-0.798098504075,774.724409724,210.781636884
24,-0.955615454145,775.810085841,213.696032057
25,-1.88454040006,778.24872936,225.925980442
26,-1.52640159835,775.344945984,220.564125818
27,-0.607123516118,771.411024342,208.478703675
28,-0.824709053387,770.7937385,210.871246475
29,-0.941323248703,769.525976203,213.280555885
30,-1.89521195752,774.090840045,225.570955996
31,-1.55521815633,772.01223941,220.587478789
32,-0.608024074318,770.236004482,208.934394321
33,-0.811694217868,768.747305066,211.501761623
34,-0.955498212529,769.592888205,213.727759855
35,-1.90675910925,773.639372071,226.0080601
36,-1.57075769318,771.254584848,221.410869654
37,-0.601152087141,768.184208844,207.808695639
38,-0.884919767326,769.058341074,212.195922994
39,-0.960043101412,768.395082339,213.033783637
40,-1.89187411852,771.3820481,225.978488527
41,-1.5712278368,768.642692503,221.03976862
42,-0.594299229163,765.151570283,207.862036736
43,-0.867334752645,765.848766677,212.553091398
44,-0.974919240067,765.049907322,213.516176799
45,-1.9215397152,767.590122574,225.838985763
46,-1.61365760843,764.374031802,221.929659212
47,-0.60898470071,761.827939518,208.89035529
48,-0.833230613285,762.124494474,211.625113435
49,-0.966105311426,761.835105125,212.933134628
50,-1.89157895117,765.286123731,224.793011096
51,-1.58790193393,762.365443256,221.472432141
52,-0.595298479819,758.812310014,207.872255
53,-0.84406031291,759.782447203,211.152999755
54,-0.964508072435,758.216445099,212.965256935
55,-1.92125941638,761.613828628,225.798560471
56,-1.63761067996,759.4466847,221.914384939
57,-0.630435818536,755.473262923,208.9148763
58,-0.856279488474,757.080828716,212.475597925
59,-0.98537181474,755.963131458,212.857884513
60,-1.89827916842,759.466138215,225.693646425
61,-1.63872637279,757.91437668,221.527324826
62,-0.60877583714,753.556368157,208.517471226
63,-0.826691997373,755.009841998,211.632627011
64,-0.969270260057,754.607840941,213.616790266
65,-1.94573733633,757.851284723,225.575381786
66,-1.57577905682,754.701266591,220.860045242
67,-0.638856185007,751.806601695,209.01135499
68,-0.862924822753,753.187598063,211.415380837
69,-0.969482732608,751.817374971,213.364026119
70,-1.91990193289,754.093604392,225.411415957
71,-1.52608735379,752.208901468,219.999320323
72,-0.630312646978,749.725666633,208.548492634
73,-0.815354268392,749.142555495,210.999155372
74,-0.952134333771,749.324114448,212.740327242
75,-1.93386801136,752.364731434,225.305189591
76,-1.57070652643,748.815358503,220.46823237
77,-0.692578614149,744.589601486,209.353901692
78,-0.868412923423,745.812754211,211.758064857
79,-0.969126733133,745.804770758,213.034625119
80,-1.94478279735,749.032311006,225.913959918
81,-1.55614139648,746.528558531,220.259996235
82,-0.638305618637,743.58935924,208.851837759
83,-0.85989039195,743.400774571,211.550630908
84,-0.959987369487,743.379484137,212.630252936
85,-1.93699748482,746.653249343,225.369423991
86,-1.55868743178,743.062679186,221.028498301
87,-0.676363071723,741.059692094,208.800306708
88,-0.863334399421,741.161614241,211.647864139
89,-0.987616715225,740.612953789,212.745038246
90,-1.93338852244,743.838049739,225.127658592
91,-1.58331172316,741.703418527,220.938340062
92,-0.657610559753,737.151161823,208.295224343
93,-0.854197190552,738.609839228,210.831343256
94,-0.960590395937,738.148640099,212.572819106
95,-1.89057938581,741.334640055,224.319891953
96,-1.56113114329,738.771666588,220.161491488
97,-0.660618717496,734.965744961,208.807813083
98,-0.863437281875,735.096735396,211.820263493
99,-0.996837300406,735.937853121,213.018479293
100,-1.90348782108,738.705126312,224.634433233
101,-1.57953305993,736.605635277,220.59718169
102,-0.658545734911,733.971866081,209.108515384
103,-0.874489287449,735.475257852,211.184448375
104,-0.962511184529,734.799920028,212.459653286
105,-1.88009956198,738.036313929,224.023163434
106,-1.55696794133,735.379256331,220.32068127
107,-0.657965264478,732.717025739,208.243874753
108,-0.889642612461,733.700572796,211.946725269
109,-0.954857498102,733.686180764,212.736043921
110,-1.89037073304,738.978822822,224.156602704
111,-1.53643361298,736.138269658,220.087741459
112,-0.659792739922,733.005366907,209.104052277
113,-0.871262305074,733.651715388,211.500836669
114,-0.976748844046,732.975852943,213.134817847
115,-1.86843015935,735.981732091,224.001199401
116,-1.56336746962,732.547723255,220.019594228
117,-0.63909441724,728.294827505,208.186746176
118,-0.82744308947,729.49034628,211.15982022
119,-0.955705593811,728.638400364,212.752754695
120,-1.86371673569,731.978623478,223.541435954
121,-1.56531931633,729.416080376,220.397170366
122,-0.572587834292,725.320717758,207.611174887
123,-0.857652555733,726.960678376,211.933108246
124,-0.965094353233,724.585319839,212.870444258
125,-1.87673103315,726.782424663,224.562806942
126,-1.57467635342,724.926487881,220.144885999
127,-0.659163259436,720.526093302,209.227513856
128,-0.855120823653,720.286716284,211.911007083
129,-0.944266821214,720.086434106,212.642073141
130,-1.85544162468,723.658722831,223.385684513
131,-1.57476739936,720.915437859,220.385822932
132,-0.677038933021,718.239918553,208.558797222
